name,scientificName,family,category,lighting,soil,fertilizing,watering
Blauschwingel,,,indoor,Viel Licht. Volle Sonne ideal.,Durchlässige magere Erde.,Wenig bis kein Dünger nötig.,Alle 10 Tage. Sparsam gießen.
Segge,,,indoor,Helles bis mittleres Licht. Halbschatten verträglich.,Feuchte humusreiche Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Bonsai Ficus,,Moraceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Gut drainierende Bonsaierde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Bonsai Ahorn,,,outdoor,Helles Licht. Morgen- oder Abendsonne.,Gut drainierende Bonsaierde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Bonsai Kiefer,,,outdoor,Viel Licht. Volle Sonne ideal.,Gut drainierende Bonsaierde mit Akadama.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Mäßig gießen.
Buchsbaum,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Eibe,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere durchlässige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Thuja,,,indoor,Viel Licht. Sonniger Standort.,Lockere nährstoffreiche Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Liguster,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Kirschlorbeer,,,outdoor,Helles Licht. Sonnig bis schattig.,Lockere nährstoffreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Zypresse,,,indoor,Viel Licht. Sonniger Standort.,Gut durchlässige Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 7 Tage. Mäßig gießen.
Wacholder,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige sandige Erde.,Im Frühling leicht düngen.,Alle 10 Tage. Sparsam gießen.
Apfelbaum,,,outdoor,Viel Licht. Volle Sonne ideal.,Nährstoffreiche lehmige Erde.,Im Frühling und Herbst düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kirschbaum,,,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche durchlässige Erde.,Im Frühling und Herbst düngen.,Alle 5 Tage. Mäßig gießen.
Birnbaum,,,outdoor,Viel Licht. Sonniger warmer Standort.,Nährstoffreiche tiefgründige Erde.,Im Frühling und Herbst düngen.,Alle 5 Tage. Mäßig gießen.
Pflaume,,,outdoor,Viel Licht. Sonniger Standort.,Nährstoffreiche durchlässige Erde.,Im Frühling und Herbst düngen.,Alle 5 Tage. Mäßig gießen.
Pfirsichbaum,,,outdoor,Viel Licht. Sonniger geschützter Standort.,Nährstoffreiche durchlässige Erde.,Im Frühling und Herbst düngen.,Alle 5 Tage. Mäßig gießen.
Nektarine,,,indoor,Viel Licht. Sonniger warmer Standort.,Nährstoffreiche durchlässige Erde.,Im Frühling und Herbst düngen.,Alle 5 Tage. Mäßig gießen.
Walnussbaum,,,outdoor,Viel Licht. Sonniger Standort.,Tiefgründige nährstoffreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Haselnuss,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Seerose,,Rosaceae,outdoor,Viel Licht. Volle Sonne notwendig.,Schwere lehmige Teicherde.,Spezielle Teichpflanzendüngertabletten im Frühling.,Alle 1 Tage. Stets im Wasser stehend. Wasserstand konstant halten.
Lotusblume,,,indoor,Viel Licht. Volle Sonne notwendig.,Schwere lehmige Teicherde.,Spezielle Teichpflanzendüngertabletten im Frühling.,Alle 1 Tage. Stets im Wasser stehend. Wasserstand konstant halten.
Wasserhyazinthe,,,outdoor,Viel Licht. Sonniger Standort.,Schwimmend in nährstoffreichem Wasser.,Kein Dünger nötig.,Alle 1 Tage. Stets im Wasser schwimmend. Wasser regelmäßig wechseln.
Venusfliegenfalle,,,indoor,Viel Licht. Direkte Sonne notwendig.,Torf-Sand-Gemisch ohne Nährstoffe.,Keinen Dünger verwenden.,Alle 3 Tage. Nur mit Regenwasser oder destilliertem Wasser.
Sonnentau,,,indoor,Viel Licht. Direkte Sonne ideal.,Torf-Sand-Gemisch ohne Nährstoffe.,Keinen Dünger verwenden.,Alle 3 Tage. Nur mit Regenwasser oder destilliertem Wasser.
Schlauchpflanze,,,indoor,Viel Licht. Direkte Sonne ideal.,Torf-Sand-Gemisch ohne Nährstoffe.,Keinen Dünger verwenden.,Alle 3 Tage. Nur mit Regenwasser oder destilliertem Wasser.
Kannenpflanze,,,indoor,Helles indirektes Licht. Hohe Luftfeuchtigkeit.,Torf-Moos-Gemisch. Gut durchlässig.,Keinen Dünger verwenden.,Alle 3 Tage. Nur mit Regenwasser oder destilliertem Wasser.
Fettkraut,,,indoor,Helles Licht. Keine pralle Sonne.,Torf-Sand-Gemisch ohne Nährstoffe.,Keinen Dünger verwenden.,Alle 5 Tage. Nur mit Regenwasser oder destilliertem Wasser.
Phalaenopsis,Phalaenopsis,Orchidaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Spezielle Orchideenerde mit Rinde und Moos.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter selten.,Alle 10 Tage. Tauchen und abtropfen lassen.
Dendrobium,,,indoor,Helles Licht. Morgen- oder Abendsonne verträglich.,Orchideenerde mit Rinde.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Cattleya,,,indoor,Viel Licht. Direkte Morgen- oder Abendsonne.,Grobe Orchideenerde mit Rinde.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Zwischen Gießen gut abtrocknen lassen.
Cymbidium,,,indoor,Helles Licht. Morgen- oder Abendsonne.,Orchideenerde mit Rinde und Torf.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Oncidium,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Orchideenerde mit Rinde.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Vanda,,,indoor,Viel Licht. Direkte Sonne verträglich.,Grobe Rinde oder in Korb ohne Erde.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Täglich besprühen.
Miltonia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Feine Orchideenerde mit Moos.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Paphiopedilum,,,indoor,Mittleres Licht. Keine direkte Sonne.,Feine Orchideenerde mit Rinde und Moos.,Alle 4 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Zygopetalum,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Orchideenerde mit Rinde.,Alle 2 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Areca-Palme,Dypsis lutescens,Arecaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Chrysalidocarpus,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Birkenfeige variegata,,,outdoor,Helles indirektes Licht. Keine Zugluft.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Spathiphyllum,,,indoor,Wenig bis mittleres Licht. Keine direkte Sonne.,Lockere humusreiche Blumenerde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Scindapsus,,,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Clusia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Alocasia macrorrhiza,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde mit Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Calathea ornata,,Marantaceae,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Calathea lancifolia,,Marantaceae,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Maranta leuconeura,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Ctenanthe,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Stromanthe,Stromanthe,Marantaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Philodendron scandens,,Araceae,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Philodendron Pink Princess,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde mit Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Philodendron Birkin,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde mit Perlite.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Syngonium,Syngonium,Araceae,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Hoya carnosa,,,indoor,Helles indirektes Licht. Etwas direkte Sonne verträglich.,Lockere durchlässige Erde mit Perlite.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Hoya kerrii,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde.,Alle 6 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Begonia maculata,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche Erde. Gute Drainage.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Begonia rex,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Tradescantia zebrina,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Tradescantia pallida,,,indoor,Helles Licht. Direkte Sonne verträglich.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
String of Pearls,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
String of Hearts,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Erbsenpflanze,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Leuchterblume,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Erde mit Sand.,Alle 4 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Dreikantige Wolfsmilch,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Glückskastanie,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Pachira aquatica,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Mädchenauge,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer.,Alle 7 Tage. Mäßig gießen.
Sonnenhut,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige nährstoffreiche Erde.,Im Frühling düngen.,Alle 5 Tage. Mäßig gießen.
Hauswurz,,,indoor,Viel Licht. Volle Sonne ideal.,Sehr durchlässige mineralische Erde.,Kein Dünger nötig.,Alle 14 Tage. Sparsam gießen.
Steinbrech,Saxifraga,Saxifragaceae,indoor,Helles Licht. Halbschatten verträglich.,Durchlässige kalkhaltige Erde.,Leichte Düngung im Frühling.,Alle 7 Tage. Mäßig gießen.
Mandevilla,,,indoor,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Dipladenia,,,indoor,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Enzianstrauch,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer.,Alle 5 Tage. Mäßig gießen.
Wandelröschen,,,indoor,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Schönmalve,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere humusreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Bleiwurz,,,indoor,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Plectranthus,,,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Harfenstrauch,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Porzellanblümchen,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Zimmerbambus,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Jakobsleiter,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere humusreiche feuchte Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Blattbegonie,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Elefantenohr,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kolbenfaden Silver Queen,,,indoor,Wenig bis mittleres Licht. Schattenverträglich.,Lockere durchlässige Blumenerde.,Alle 4 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Dracaena reflexa,,,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Gut durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Kaffeebaum,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche leicht saure Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kakaobaum,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Pfennigbaum,Crassula ovata,Crassulaceae,outdoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Glücksklee,,Fabaceae,outdoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Fleißiges Lieschen,,,outdoor,Helles bis mittleres Licht. Keine pralle Sonne.,Lockere humusreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Pantoffelblume,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 2 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Jasminblütiger Nachtschatten,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Brunfelsia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche leicht saure Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Ananaspflanze,,,indoor,Viel Licht. Direkte Sonne verträglich.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Drachenfrucht,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Vanille,,,indoor,Helles indirektes Licht. Hohe Luftfeuchtigkeit.,Lockere Orchideenerde mit Rinde.,Alle 4 Wochen Orchideendünger im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Zimt,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Astilbe,,,indoor,Halbschatten. Keine pralle Sonne.,Feuchte humusreiche Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Rittersporn,,,indoor,Viel Licht. Sonniger Standort.,Nährstoffreiche durchlässige Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Phlox,,,indoor,Viel Licht. Sonnig bis halbschattig.,Nährstoffreiche feuchte Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Storchschnabel,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Akelei,,,indoor,Helles Licht. Halbschatten bevorzugt.,Lockere humusreiche Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Glockenblume,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Fingerhut,,,indoor,Helles Licht. Halbschatten möglich.,Lockere humusreiche Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Funkien,,,indoor,Wenig bis mittleres Licht. Schatten bevorzugt.,Lockere humusreiche feuchte Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Echinacea,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Katzenminze,,,herbal,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Sparsam gießen.
Mohn,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige Erde. Keine Staunässe.,Im Frühling leicht düngen.,Alle 7 Tage. Sparsam gießen.
Schafgarbe,,,herbal,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Wenig bis kein Dünger nötig.,Alle 10 Tage. Sparsam gießen.
Frauenmantel,,,herbal,Helles Licht. Halbschatten verträglich.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Taglilie,,Liliaceae,indoor,Viel Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche Erde.,Im Frühling und Sommer düngen.,Alle 5 Tage. Mäßig gießen.
Malve,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer.,Alle 7 Tage. Mäßig gießen.
Prachtspiere,,,indoor,Helles Licht. Halbschatten verträglich.,Feuchte humusreiche Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Purpurglöckchen,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Silberkerze,,,indoor,Mittleres Licht. Halbschatten bevorzugt.,Lockere humusreiche feuchte Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Herbstanemone,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere humusreiche Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Christrose,,Rosaceae,outdoor,Wenig bis mittleres Licht. Halbschatten bevorzugt.,Lockere humusreiche kalkhaltige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Winterjasmin,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Zierlauch,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige Erde. Keine Staunässe.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Schneeglöckchen,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere humusreiche feuchte Erde.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Mäßig gießen.
Märzenbecher,,,indoor,Helles Licht. Halbschatten möglich.,Lockere feuchte Erde.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Gleichmäßig feucht halten.
Blausternchen,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Leichte Düngung nach der Blüte.,Alle 7 Tage. Mäßig gießen.
Maiglöckchen,,,indoor,Wenig bis mittleres Licht. Schatten bevorzugt.,Lockere humusreiche feuchte Erde.,Im Frühling leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Fittonia,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kanonierblume,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Zimmertanne,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Norfolk-Tanne,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige leicht saure Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Zierspargel,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Asparagus densiflorus,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Korallenkaktus,,Cactaceae,cacti,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Erde mit Perlite.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Herzblattbaum,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Geldbaum variegata,,,outdoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 4 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Aloe aristata,,Asphodelaceae,cacti,Helles Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Aloe humilis,,Asphodelaceae,cacti,Helles bis mittleres Licht. Direkte Sonne möglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Epipremnum aureum,,,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Blumenerde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Philodendron hederaceum,,Araceae,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Monstera Thai Constellation,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Rinde und Perlite.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
